e1x,e2x,e1y,e2y,dist_eyes,nx,ny,nx+nw,ny+nh,nose_size,mx,my,mx+mw,my+mh,mouth_size
30,66,36,38,36.05551275,30,49,64,77,952,29,77,62,97,660
32,68,35,37,36.05551275,31,48,64,76,924,29,74,64,95,735
65,35,41,36,30.41381265,28,48,61,75,891,21,70,66,97,1215
30,67,35,35,37,30,53,68,85,1216,40,84,65,99,375
27,62,42,33,36.138622,31,49,64,76,891,33,76,72,100,936
27,62,42,33,36.138622,34,47,66,73,832,33,74,74,98,984
26,63,38,27,38.60051813,31,46,64,74,924,32,72,76,98,1144
26,63,38,27,38.60051813,32,48,63,74,806,36,74,74,97,874
30,66,41,33,36.87817783,34,50,68,78,952,39,79,72,99,660
29,65,39,32,36.67424164,32,48,66,77,986,36,77,71,98,735
28,66,40,32,38.83297568,32,49,68,79,1080,37,78,71,98,680
28,66,40,32,38.83297568,31,49,67,79,1080,37,78,71,98,680
27,66,40,33,39.62322551,32,50,68,80,1080,37,79,71,99,680
29,65,41,32,37.10795063,34,49,65,75,806,37,77,72,98,735
29,65,41,32,37.10795063,34,52,69,81,1015,37,79,68,97,558
29,66,41,31,38.32753579,33,49,67,77,952,40,78,73,98,660
30,65,41,32,36.138622,33,49,66,77,924,37,75,72,96,735
29,68,40,32,39.81205847,33,49,68,78,1015,36,78,71,99,735
29,66,41,34,37.65634077,31,51,65,79,952,36,79,69,99,660
29,66,41,34,37.65634077,31,50,65,79,986,36,79,69,99,660
28,66,41,34,38.63935817,32,50,66,78,952,38,79,70,98,608
28,66,40,32,38.83297568,32,49,68,78,1044,38,79,70,98,608
29,66,42,33,38.07886553,32,50,66,78,952,38,78,71,98,660
29,66,41,33,37.85498646,32,49,65,77,924,37,78,71,98,680
29,66,41,33,37.85498646,32,47,66,75,952,35,72,77,97,1050
32,67,37,35,35.05709629,34,52,71,83,1147,38,81,68,99,540
28,67,39,30,40.02499219,30,47,66,77,1080,36,78,69,98,660
27,67,40,33,40.60788101,32,51,66,80,986,36,78,69,98,660
29,65,41,33,36.87817783,31,49,65,77,952,37,78,69,97,608
30,66,40,33,36.67424164,33,50,66,78,924,38,79,70,98,608
27,67,40,33,40.60788101,31,50,67,80,1080,38,79,70,98,608
28,67,40,33,39.62322551,31,50,67,80,1080,38,79,70,98,608
66,29,34,42,37.85498646,34,51,66,78,864,38,79,70,98,608
30,65,41,33,35.90264614,33,50,65,76,832,37,78,70,98,660
30,65,37,30,35.6931366,34,47,65,73,806,37,73,73,95,792
28,66,40,32,38.83297568,32,49,65,77,924,39,78,71,97,608
32,67,35,35,35,32,50,70,82,1216,36,80,67,98,558
30,67,40,32,37.85498646,33,48,67,76,952,40,78,72,97,608
27,65,39,30,39.05124838,31,48,66,77,1015,39,79,70,98,589
28,63,41,32,36.138622,31,49,64,76,891,35,78,68,98,660
31,65,41,33,34.92849839,33,49,65,75,832,37,78,71,98,680
29,64,41,32,36.138622,33,50,66,77,891,36,80,67,98,558
29,65,36,29,36.67424164,33,48,65,75,864,35,72,76,97,1025
29,65,36,29,36.67424164,32,47,65,75,924,34,72,75,97,1025
27,65,39,31,38.83297568,31,50,66,79,1015,36,78,70,98,680
29,66,40,33,37.65634077,33,51,67,79,952,38,78,71,98,660
30,65,40,32,35.90264614,33,49,65,76,864,36,76,71,97,735
